language	accuracy	F1_micro	F1_macro
en	0.6402302526383115	0.38500585708707535	0.08156263274891726
fr	0.2967213114754098	0.45588985211626715	0.1789267846709852
ge	0.22030651340996169	0.4384384384384385	0.16781878695042263
it	0.3526077097505669	0.5632058287795992	0.16825947405923694
po	0.4475	0.3547945205479452	0.12702489665016653
ru	0.3533980582524272	0.32008368200836823	0.10360958083420183
