language	accuracy	F1_micro	F1_macro
en	0.6079309242085066	0.3941895014856388	0.09888195327226651
fr	0.28524590163934427	0.45731977001326846	0.21277914240146145
ge	0.2222222222222222	0.40225988700564974	0.1668113309329375
it	0.30272108843537415	0.5228480340063761	0.1822647549506743
po	0.395	0.35250659630606856	0.17253172488782115
ru	0.2970873786407767	0.3861538461538461	0.13078115658364295
