language	accuracy	F1_micro	F1_macro
en	0.6015350175887432	0.4093603744149766	0.14373172424068023
fr	0.2934426229508197	0.48170982326346073	0.24425611908155623
ge	0.22796934865900384	0.44511581067472306	0.21558742465946254
it	0.3129251700680272	0.5318595578673602	0.2212969144724026
po	0.43125	0.4131455399061033	0.20872506935429594
ru	0.32233009708737864	0.442239546420978	0.18927145708778745
