language	accuracy	F1_micro	F1_macro
en	0	0.4072810011376565	0.22611037157822772
fr	0	0.49626168224299066	0.25393719007554016
ge	0	0.47196261682242985	0.22989143551820487
it	0	0.5815931941221965	0.23284163204249617
po	0	0.4265335235378031	0.24336624758143155
ru	0	0.4283088235294118	0.1755917319882667
