language	F1_micro	F1_macro
en	0.43357058125741393	0.24448671670151417
fr	0.49689011748445067	0.30578363622041516
ge	0.4661269706007669	0.2593867072618512
it	0.5615085303801257	0.2531863468796188
po	0.43933463796477495	0.24485479728060888
ru	0.46344647519582244	0.21521044291206692
