language	F1_micro	F1_macro
en	0.4342857142857142	0.24314814090803527
fr	0.5038705137227305	0.31332585195157064
ge	0.46741963509991313	0.2585005209201551
it	0.5623100303951368	0.2530511999313977
po	0.4407960199004975	0.24718096715397497
ru	0.46399999999999997	0.2071264983620115
