language	F1_micro	F1_macro
en	0.4143302180685358	0.1918505074407716
fr	0.48896156991005724	0.2491696691018713
ge	0.45112781954887216	0.19694136124951236
it	0.5448318804483188	0.19131672581921114
po	0.3746860873932697	0.19755606884583993
ru	0.37718631178707224	0.1372300857083205
