language	F1_micro	F1_macro
en	0.4275402554136591	0.24743138884173335
fr	0.49300254452926207	0.32571711457160496
ge	0.46153846153846156	0.2607649781731191
it	0.5445877734155917	0.24597950479614838
po	0.4230769230769231	0.24266260995274577
ru	0.4568345323741007	0.21587471072358544
